ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
ILMN_2774210	0.9801	2.89E-01	1.1387069	-5.30799	0.10068494		
ILMN_1252356	0.9801	2.90E-01	-1.1386313	-5.30807	-0.10566048	Cand1	cullin associated and neddylation disassociated 1
ILMN_2663348	0.9801	2.90E-01	1.1385332	-5.30817	0.09335708	Sobp	sine oculis-binding protein homolog (Drosophila)
ILMN_3134844	0.9801	2.90E-01	1.1385128	-5.30819	0.09387208	Dysf	dysferlin
ILMN_1230697	0.9801	2.90E-01	1.1384709	-5.30823	0.15878835	Scaf8	SR-related CTD-associated factor 8
ILMN_3003919	0.9801	2.90E-01	-1.1383901	-5.30831	-0.12584246	Olfr857	olfactory receptor 857
ILMN_2836137	0.9801	2.90E-01	1.1383083	-5.30839	0.15451356	E2f2	E2F transcription factor 2
ILMN_1225278	0.9801	2.90E-01	-1.1382321	-5.30847	-0.10553344	Usp9x	"ubiquitin specific peptidase 9, X chromosome"
ILMN_1235966	0.9801	2.90E-01	-1.1382194	-5.30848	-0.1072301	Alox12b	"arachidonate 12-lipoxygenase, 12R type"
ILMN_1226619	0.9801	2.90E-01	-1.1381961	-5.30851	-0.0990292	Mndal	myeloid nuclear differentiation antigen like
ILMN_2754497	0.9801	2.90E-01	1.1381465	-5.30856	0.11739036	1700120K04Rik	RIKEN cDNA 1700120K04 gene
ILMN_2777427	0.9801	2.90E-01	-1.1381444	-5.30856	-0.17848905	Nostrin	nitric oxide synthase trafficker
ILMN_1238211	0.9801	2.90E-01	1.1380874	-5.30862	0.09121328	1600012H06Rik	RIKEN cDNA 1600012H06 gene
ILMN_2769308	0.9801	2.90E-01	1.1380697	-5.30864	0.12614519	Ewsr1	Ewing sarcoma breakpoint region 1
ILMN_2755973	0.9801	2.90E-01	-1.1380392	-5.30867	-0.15821333	Pomt2	protein-O-mannosyltransferase 2
ILMN_1256923	0.9801	2.90E-01	1.1380221	-5.30868	0.16569908	Mcf2l	mcf.2 transforming sequence-like
ILMN_2964076	0.9801	2.90E-01	1.138003	-5.3087	0.33947242	Tspan31	tetraspanin 31
ILMN_1214286	0.9801	2.90E-01	1.1379254	-5.30878	0.09178825	Abhd13	abhydrolase domain containing 13
ILMN_2590339	0.9801	2.90E-01	1.1379211	-5.30879	0.16978391	Mylip	myosin regulatory light chain interacting protein
ILMN_2579546	0.9801	2.90E-01	1.1378825	-5.30883	0.08867902	LOC434317	uncharacterized LOC434317
ILMN_1242126	0.9801	2.90E-01	1.1378124	-5.3089	0.09495569		
ILMN_2619707	0.9801	2.90E-01	-1.1377069	-5.309	-0.10133757	Slco2b1	"solute carrier organic anion transporter family, member 2b1"
ILMN_2882473	0.9801	2.90E-01	1.1376067	-5.3091	0.09839174	C87436	expressed sequence C87436
ILMN_2875585	0.9801	2.90E-01	-1.1375844	-5.30913	-0.09243231	Prl2c3	"prolactin family 2, subfamily c, member 3"
ILMN_2722213	0.9801	2.90E-01	1.137567	-5.30914	0.09319748	Atf7ip	activating transcription factor 7 interacting protein
ILMN_1226801	0.9801	2.90E-01	1.1375064	-5.30921	0.16701352	Zfp647	zinc finger protein 647
ILMN_2590015	0.9801	2.90E-01	1.1374107	-5.3093	0.12752504	Ppdpf	pancreatic progenitor cell differentiation and proliferation factor homolog (zebrafish)RIKEN cDNA 2700038C09 gene
ILMN_2528727	0.9801	2.90E-01	1.1373649	-5.30935	0.09846175		
ILMN_2625451	0.9801	2.90E-01	-1.1373403	-5.30937	-0.11932784	Ankrd1	ankyrin repeat domain 1 (cardiac muscle)
ILMN_1221126	0.9801	2.90E-01	1.137306	-5.30941	0.15862025		
ILMN_1256018	0.9801	2.90E-01	1.1372787	-5.30944	0.10998135	Sytl2	synaptotagmin-like 2
ILMN_2629446	0.9801	2.90E-01	1.1372525	-5.30946	0.22635819	Prpsap2	phosphoribosyl pyrophosphate synthetase-associated protein 2
ILMN_1229087	0.9801	2.90E-01	1.1371236	-5.30959	0.14607678	4930591A17Rik	RIKEN cDNA 4930591A17 gene
ILMN_1255360	0.9801	2.90E-01	1.1371088	-5.30961	0.10202425	Olfr1	olfactory receptor 1
ILMN_2985987	0.9801	2.90E-01	-1.1370509	-5.30967	-0.10919096	Slc45a2	"solute carrier family 45, member 2"
ILMN_1238503	0.9801	2.90E-01	1.1369815	-5.30974	0.10906965		
ILMN_2537023	0.9801	2.90E-01	1.136981	-5.30974	0.11593069	Acap3	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3"
ILMN_2537572	0.9801	2.90E-01	1.1369768	-5.30974	0.13984644		
ILMN_2626153	0.9801	2.90E-01	1.1368918	-5.30983	0.09664308	Fbln2	fibulin 2
ILMN_1220508	0.9801	2.90E-01	-1.1368849	-5.30984	-0.11105234		
ILMN_2693858	0.9801	2.90E-01	1.1367361	-5.30999	0.28227303	D14Ertd449e	"DNA segment, Chr 14, ERATO Doi 449, expressed"
ILMN_1249637	0.9801	2.90E-01	1.1367154	-5.31001	0.26744371	Peg13	paternally expressed 13
ILMN_1259010	0.9801	2.90E-01	1.1365175	-5.31021	0.21561794	Cpb1	carboxypeptidase B1 (tissue)
ILMN_2775220	0.9801	2.90E-01	1.1364929	-5.31023	0.16213559	Rsph9	radial spoke head 9 homolog (Chlamydomonas)
ILMN_2639196	0.9801	2.90E-01	1.1364798	-5.31025	0.16670852		
ILMN_3009260	0.9801	2.90E-01	1.1364677	-5.31026	0.22118296	Coq2	"coenzyme Q2 homolog, prenyltransferase (yeast)"
ILMN_1229944	0.9801	2.90E-01	-1.136368	-5.31036	-0.13256406	Dmpk	dystrophia myotonica-protein kinase
ILMN_1256706	0.9801	2.90E-01	-1.1363355	-5.31039	-0.11009902	Fbxl21	F-box and leucine-rich repeat protein 21
ILMN_2564888	0.9801	2.90E-01	-1.1362611	-5.31047	-0.10088172		
ILMN_2507725	0.9801	2.90E-01	1.1361143	-5.31062	0.22040556	Lpin1	lipin 1
ILMN_2685353	0.9801	2.91E-01	-1.136046	-5.31068	-0.10473507	Sult1b1	"sulfotransferase family 1B, member 1"
ILMN_2856095	0.9801	2.91E-01	1.1360221	-5.31071	0.18634177	Zc3h12a	zinc finger CCCH type containing 12A
ILMN_1229134	0.9801	2.91E-01	1.1359631	-5.31077	0.153417	Obsl1	obscurin-like 1
ILMN_2708871	0.9801	2.91E-01	-1.1359078	-5.31082	-0.28300576	F7	coagulation factor VII
ILMN_1216281	0.9801	2.91E-01	-1.1358965	-5.31084	-0.1018514	Map4k5	mitogen-activated protein kinase kinase kinase kinase 5
ILMN_1251316	0.9801	2.91E-01	-1.1357129	-5.31102	-0.1202548	Camsap1	calmodulin regulated spectrin-associated protein 1
ILMN_2698757	0.9801	2.91E-01	1.1356534	-5.31108	0.13119565	Ppm1l	protein phosphatase 1 (formerly 2C)-like
ILMN_2665017	0.9801	2.91E-01	-1.1356098	-5.31113	-0.10105017		
ILMN_1227510	0.9801	2.91E-01	1.1355477	-5.31119	0.16302656	Shisa4	shisa homolog 4 (Xenopus laevis)
ILMN_2819311	0.9801	2.91E-01	-1.135536	-5.3112	-0.19370028	Tdpoz2	TD and POZ domain containing 2
ILMN_2728997	0.9801	2.91E-01	1.1355084	-5.31123	0.10910383		
ILMN_3092125	0.9801	2.91E-01	1.1353923	-5.31135	0.11617895	Gm1821	ubiquitin pseudogene
ILMN_1228261	0.9801	2.91E-01	1.1353425	-5.3114	0.1224241	Ankmy2	ankyrin repeat and MYND domain containing 2
ILMN_2875611	0.9801	2.91E-01	-1.135257	-5.31148	-0.09738806	Olfr1140	olfactory receptor 1140
ILMN_1233129	0.9801	2.91E-01	1.1352058	-5.31153	0.43413755	Zbtb22	zinc finger and BTB domain containing 22
ILMN_2958386	0.9801	2.91E-01	1.1351971	-5.31154	0.09652442	Fgf6	fibroblast growth factor 6
ILMN_2733465	0.9801	2.91E-01	1.1351429	-5.3116	0.13489736	Acot11	acyl-CoA thioesterase 11
ILMN_3023656	0.9801	2.91E-01	1.1350956	-5.31165	0.19882076	Tyw1	tRNA-yW synthesizing protein 1 homolog (S. cerevisiae)
ILMN_2477243	0.9801	2.91E-01	1.1350551	-5.31169	0.21181278	Zfp281	zinc finger protein 281
ILMN_1238140	0.9801	2.91E-01	-1.1350331	-5.31171	-0.10679263	Ces1f	carboxylesterase 1F
ILMN_2687594	0.9801	2.91E-01	-1.135011	-5.31173	-0.18165525	Nkx3-2	NK3 homeobox 2
ILMN_2553916	0.9801	2.91E-01	-1.1349595	-5.31178	-0.11935082		
ILMN_1233435	0.9801	2.91E-01	1.1349508	-5.31179	0.17999366	Gm9899	predicted gene 9899
ILMN_1249663	0.9801	2.91E-01	1.1349265	-5.31182	0.14579386	Cd4	CD4 antigen
ILMN_2842930	0.9801	2.91E-01	1.134908	-5.31184	0.25405545	Polr3k	polymerase (RNA) III (DNA directed) polypeptide K
ILMN_1226175	0.9801	2.91E-01	1.1348527	-5.31189	0.25130205	Igf2bp3	insulin-like growth factor 2 mRNA binding protein 3
ILMN_1242037	0.9801	2.91E-01	-1.1347744	-5.31197	-0.16553469	Tmem209	transmembrane protein 209
ILMN_2604713	0.9801	2.91E-01	-1.1347669	-5.31198	-0.11653092	Gjb2	"gap junction protein, beta 2"
ILMN_2539604	0.9801	2.91E-01	-1.1347269	-5.31202	-0.15001493		
ILMN_2696566	0.9801	2.91E-01	-1.1347189	-5.31203	-0.1266647	Eif4a2	eukaryotic translation initiation factor 4A2
ILMN_3055741	0.9801	2.91E-01	1.1346343	-5.31211	0.11138165	Atp8a1	"ATPase, aminophospholipid transporter (APLT), class I, type 8A, member 1"
ILMN_2590090	0.9801	2.91E-01	-1.1345707	-5.31218	-0.09325718	Rgr	retinal G protein coupled receptor
ILMN_1214578	0.9801	2.91E-01	-1.1341151	-5.31264	-0.16236237	Crtc3	CREB regulated transcription coactivator 3
ILMN_1231769	0.9801	2.91E-01	1.134064	-5.31269	0.26470289		
ILMN_2588315	0.9801	2.91E-01	-1.1340269	-5.31273	-0.09962352	Rbpj	recombination signal binding protein for immunoglobulin kappa J region
ILMN_1253932	0.9801	2.91E-01	-1.1340189	-5.31273	-0.18312994	Nwd1	NACHT and WD repeat domain containing 1
ILMN_2729745	0.9801	2.91E-01	1.1338353	-5.31292	0.11850034	Lypd6	LY6/PLAUR domain containing 6
ILMN_3029178	0.9801	2.91E-01	-1.1338226	-5.31293	-0.16475091	Fcgr2b	"Fc receptor, IgG, low affinity IIb"
ILMN_2925855	0.9801	2.91E-01	1.133814	-5.31294	0.11248191	Olfr1089	olfactory receptor 1089
ILMN_1243975	0.9801	2.91E-01	-1.1338107	-5.31294	-0.09902533	Brca2	breast cancer 2
ILMN_1229915	0.9801	2.91E-01	-1.1337949	-5.31296	-0.09033962	Mthfd1	"methylenetetrahydrofolate dehydrogenase (NADP+ dependent), methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthase"
ILMN_2874064	0.9801	2.91E-01	-1.1337641	-5.31299	-0.11646784	Wfikkn2	"WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 2"
ILMN_2492216	0.9801	2.91E-01	-1.1336681	-5.31309	-0.11185749	Vmn1r44	vomeronasal 1 receptor 44
ILMN_2711743	0.9801	2.91E-01	-1.1336437	-5.31311	-0.1163829	Cst10	cystatin 10 (chondrocytes)
ILMN_2666447	0.9801	2.91E-01	1.1336081	-5.31315	0.09738707	Intu	inturned planar cell polarity effector homolog (Drosophila)
ILMN_2721613	0.9801	2.91E-01	1.1336033	-5.31315	0.15965306	Pde8b	phosphodiesterase 8B
ILMN_3094743	0.9801	2.91E-01	1.1336002	-5.31316	0.29281042	Tmpo	thymopoietin
ILMN_2864913	0.9801	2.92E-01	1.1334793	-5.31328	0.18796199	Hhat	hedgehog acyltransferase
ILMN_2549697	0.9801	2.92E-01	1.1333564	-5.3134	0.2612093	Rnmt	RNA (guanine-7-) methyltransferase
ILMN_1254663	0.9801	2.92E-01	-1.1332307	-5.31353	-0.09774601	Cadm3	cell adhesion molecule 3
ILMN_1237560	0.9801	2.92E-01	1.1331653	-5.3136	0.16989753	Sprtn	SprT-like N-terminal domain
ILMN_1213354	0.9801	2.92E-01	1.132987	-5.31378	0.1666693	Asxl2	additional sex combs like 2 (Drosophila)
ILMN_1260494	0.9801	2.92E-01	1.1329549	-5.31381	0.14992766		
ILMN_3161253	0.9801	2.92E-01	-1.1329458	-5.31382	-0.12105283	Shisa3	shisa homolog 3 (Xenopus laevis)
ILMN_2428060	0.9801	2.92E-01	1.132921	-5.31384	0.09033562	Tmprss4	"transmembrane protease, serine 4"
ILMN_1243889	0.9801	2.92E-01	-1.1328848	-5.31388	-0.14065337		
ILMN_1233506	0.9801	2.92E-01	1.1327885	-5.31398	0.10147817	4930423O20Rik	RIKEN cDNA 4930423O20 gene
ILMN_2839257	0.9801	2.92E-01	1.1326627	-5.3141	0.13753931	Olfr738	olfactory receptor 738
ILMN_2448213	0.9801	2.92E-01	-1.1326549	-5.31411	-0.09269743	Slc8a1	"solute carrier family 8 (sodium/calcium exchanger), member 1"
ILMN_2685770	0.9801	2.92E-01	1.1326073	-5.31416	0.20426823	Vangl2	"vang-like 2 (van gogh, Drosophila)"
ILMN_2891157	0.9801	2.92E-01	1.1325421	-5.31423	0.1898392	Rock2	Rho-associated coiled-coil containing protein kinase 2
ILMN_1226106	0.9801	2.92E-01	1.1325353	-5.31423	0.0952815	Rassf9	Ras association (RalGDS/AF-6) domain family (N-terminal) member 9
ILMN_1248046	0.9801	2.92E-01	-1.1323479	-5.31442	-0.09786186		
ILMN_2661685	0.9801	2.92E-01	-1.1323372	-5.31443	-0.11315632	Prss21	"protease, serine, 21"
ILMN_2664521	0.9801	2.92E-01	-1.1322661	-5.3145	-0.1098636		
ILMN_1214831	0.9801	2.92E-01	1.1321778	-5.31459	0.18355332		
ILMN_2452226	0.9801	2.92E-01	-1.1321305	-5.31464	-0.11085381	Prlr	prolactin receptor
ILMN_2897281	0.9801	2.92E-01	1.1320897	-5.31468	0.11057077	D18Ertd653e	"DNA segment, Chr 18, ERATO Doi 653, expressed"
ILMN_1235811	0.9801	2.92E-01	-1.1320667	-5.31471	-0.14105233	Fam198b	"family with sequence similarity 198, member B"
ILMN_2533757	0.9801	2.92E-01	1.1320183	-5.31475	0.12226397	Fam26d	"family with sequence similarity 26, member D"
ILMN_1225623	0.9801	2.92E-01	-1.1319828	-5.31479	-0.10221106	2410024N13Rik	RIKEN cDNA 2410024N13 gene
ILMN_2802843	0.9801	2.92E-01	1.1319399	-5.31483	0.12680578	Ralgps1	Ral GEF with PH domain and SH3 binding motif 1
ILMN_1216539	0.9801	2.92E-01	1.1319249	-5.31485	0.11881414	Nat8	"N-acetyltransferase 8 (GCN5-related, putative)"
ILMN_2595469	0.9801	2.92E-01	-1.1319017	-5.31487	-0.12818414	Ccdc65	coiled-coil domain containing 65
ILMN_2497190	0.9801	2.92E-01	1.1318921	-5.31488	0.1267943	Bmf	BCL2 modifying factor
ILMN_2485577	0.9801	2.92E-01	1.1318053	-5.31497	0.19472418	D030016E14Rik	RIKEN cDNA D030016E14 gene
ILMN_1231868	0.9801	2.92E-01	-1.1317873	-5.31499	-0.22052105	Arl16	ADP-ribosylation factor-like 16
ILMN_2818498	0.9801	2.92E-01	-1.1317175	-5.31506	-0.09196603	Mup21	major urinary protein 21
ILMN_2670361	0.9801	2.92E-01	-1.1317099	-5.31507	-0.19283704	Setd4	SET domain containing 4
ILMN_2778555	0.9801	2.92E-01	1.1316428	-5.31513	0.2141939	Proca1	protein interacting with cyclin A1
ILMN_2581654	0.9801	2.92E-01	1.1316321	-5.31514	0.12876216	Esyt2	extended synaptotagmin-like protein 2
ILMN_1215401	0.9801	2.92E-01	1.1316306	-5.31515	0.17192622	Zfp87	zinc finger protein 87
ILMN_1250956	0.9801	2.92E-01	1.1314569	-5.31532	0.17522053	Prune2	prune homolog 2 (Drosophila)
ILMN_2648346	0.9801	2.92E-01	-1.1314264	-5.31535	-0.20818069	Bst1	bone marrow stromal cell antigen 1
ILMN_2764235	0.9801	2.92E-01	1.1314064	-5.31537	0.12494433	Zcchc10	"zinc finger, CCHC domain containing 10"
ILMN_2466601	0.9801	2.92E-01	-1.1312624	-5.31552	-0.09190498	Wdr7	WD repeat domain 7
ILMN_2440604	0.9801	2.92E-01	-1.1312156	-5.31556	-0.09973583	Traf5	TNF receptor-associated factor 5
ILMN_2749363	0.9801	2.92E-01	1.1311989	-5.31558	0.10399837		
ILMN_1240318	0.9801	2.92E-01	1.1311631	-5.31562	0.10756912	Slc7a7	"solute carrier family 7 (cationic amino acid transporter, y+ system), member 7"
ILMN_3153080	0.9801	2.92E-01	1.1311544	-5.31563	0.13796465	Pacsin1	protein kinase C and casein kinase substrate in neurons 1
ILMN_2451035	0.9801	2.92E-01	1.1311361	-5.31564	0.09432399		
ILMN_1217065	0.9801	2.92E-01	-1.1311225	-5.31566	-0.16313003	Fam83d	"family with sequence similarity 83, member D"
ILMN_2823628	0.9801	2.92E-01	1.1310855	-5.3157	0.12549405	Olfr820	olfactory receptor 820
ILMN_2708776	0.9801	2.93E-01	-1.1309809	-5.3158	-0.11983218	Hnrnpk	heterogeneous nuclear ribonucleoprotein K
ILMN_1214855	0.9801	2.93E-01	1.1308938	-5.31589	0.16338292	Gm9956	predicted gene 9956
ILMN_1237366	0.9801	2.93E-01	-1.130874	-5.31591	-0.08338783		
ILMN_1257342	0.9801	2.93E-01	-1.1307089	-5.31608	-0.08641697	Zfy2	"zinc finger protein 2, Y linked"
ILMN_2515630	0.9801	2.93E-01	-1.1306624	-5.31612	-0.10351293		
ILMN_1232729	0.9801	2.93E-01	-1.1306277	-5.31616	-0.0910963		
ILMN_2996338	0.9801	2.93E-01	-1.1306212	-5.31616	-0.12800012	Cd70	CD70 antigen
ILMN_1237914	0.9801	2.93E-01	-1.1306021	-5.31618	-0.12171202	Tas2r108	"taste receptor, type 2, member 108"
ILMN_1257809	0.9801	2.93E-01	1.1305671	-5.31622	0.1225972	Ttc39d	tetratricopeptide repeat domain 39D
ILMN_2900484	0.9801	2.93E-01	-1.1305579	-5.31623	-0.10349804	Trim72	tripartite motif-containing 72
ILMN_2630319	0.9801	2.93E-01	-1.1305571	-5.31623	-0.08186761	Jub	ajuba
ILMN_1229984	0.9801	2.93E-01	-1.1305502	-5.31624	-0.15165107		
ILMN_2937251	0.9801	2.93E-01	1.1305406	-5.31625	0.12764456	Olfr115	olfactory receptor 115
ILMN_2693258	0.9801	2.93E-01	1.130526	-5.31626	0.28676551	Fam36a	"family with sequence similarity 36, member A"
ILMN_1237907	0.9801	2.93E-01	1.1304996	-5.31629	0.12410233	Ing5	"inhibitor of growth family, member 5"
ILMN_1234313	0.9801	2.93E-01	1.1304147	-5.31637	0.14316198		
ILMN_1215828	0.9801	2.93E-01	-1.1301542	-5.31664	-0.0881745	Olfr1469	olfactory receptor 1469
ILMN_2798079	0.9801	2.93E-01	-1.1301296	-5.31666	-0.16877739	Swt1	SWT1 RNA endoribonuclease homolog (S. cerevisiae)
ILMN_1255263	0.9801	2.93E-01	1.1301216	-5.31667	0.11603515	Scamp5	secretory carrier membrane protein 5
ILMN_1239830	0.9801	2.93E-01	1.1299941	-5.3168	0.18818803	Glipr2	GLI pathogenesis-related 2
ILMN_2637122	0.9801	2.93E-01	-1.1299265	-5.31686	-0.0948735	Pkp2	plakophilin 2
ILMN_2642462	0.9801	2.93E-01	-1.1297701	-5.31702	-0.09816776		
ILMN_2862760	0.9801	2.93E-01	1.1297644	-5.31703	0.15335861	Gdi1	guanosine diphosphate (GDP) dissociation inhibitor 1
ILMN_1223345	0.9801	2.93E-01	1.1297273	-5.31707	0.12010484		
ILMN_1242571	0.9801	2.93E-01	1.1297211	-5.31707	0.11463025	Pkn3	protein kinase N3
ILMN_2763304	0.9801	2.93E-01	1.1296887	-5.3171	0.12016561	Olfr472	olfactory receptor 472
ILMN_1242686	0.9801	2.93E-01	-1.1295863	-5.31721	-0.10093144	Nsun6	NOL1/NOP2/Sun domain family member 6
ILMN_1249638	0.9801	2.93E-01	1.1294672	-5.31733	0.12341464	Rbbp4	retinoblastoma binding protein 4
ILMN_2525893	0.9801	2.93E-01	-1.1294203	-5.31737	-0.08318902		
ILMN_1232116	0.9801	2.93E-01	1.1293423	-5.31745	0.19724259		
ILMN_2534497	0.9801	2.93E-01	-1.1292908	-5.31751	-0.0820306	Qrich2	glutamine rich 2
ILMN_1244341	0.9801	2.93E-01	1.1292882	-5.31751	0.08864234	Fam154b	"family with sequence similarity 154, member B"
ILMN_3160420	0.9801	2.93E-01	1.1292601	-5.31754	0.12042295	D030018L15Rik	nuclear receptor coactivator 2 pseudogene
ILMN_1235198	0.9801	2.93E-01	-1.1292305	-5.31757	-0.11008854		
ILMN_1256057	0.9801	2.93E-01	-1.1292289	-5.31757	-0.16323742	Cwf19l2	"CWF19-like 2, cell cycle control (S. pombe)"
ILMN_2879506	0.9801	2.93E-01	1.1291749	-5.31762	0.33907576	Kansl2	KAT8 regulatory NSL complex subunit 2
ILMN_2481799	0.9801	2.93E-01	-1.1291502	-5.31765	-0.22146644	Zfp317	zinc finger protein 317
ILMN_2616000	0.9801	2.93E-01	1.1291364	-5.31766	0.10563938	Tsen15	tRNA splicing endonuclease 15 homolog (S. cerevisiae)
ILMN_1237581	0.9801	2.93E-01	1.1290913	-5.31771	0.15726805	0710007G10Rik	RIKEN cDNA 0710007G10 gene
ILMN_2491792	0.9801	2.93E-01	1.1290732	-5.31772	0.12884559	Vps16	vacuolar protein sorting 16 (yeast)
ILMN_1231123	0.9801	2.93E-01	-1.1290559	-5.31774	-0.12697257	Myc	myelocytomatosis oncogene
ILMN_1238676	0.9801	2.93E-01	-1.1290467	-5.31775	-0.12235707	Mycbp2	MYC binding protein 2
ILMN_2896229	0.9801	2.93E-01	1.1289531	-5.31785	0.28995737	Zfp219	zinc finger protein 219
ILMN_1213728	0.9801	2.93E-01	-1.1288872	-5.31791	-0.11957191	Fam118a	"family with sequence similarity 118, member A"
ILMN_2535977	0.9801	2.93E-01	1.1288571	-5.31794	0.13597512		
ILMN_1231387	0.9801	2.93E-01	1.128816	-5.31798	0.15924414	Ccdc114	coiled-coil domain containing 114
ILMN_3108894	0.9801	2.93E-01	1.1286886	-5.31811	0.16762003	Sgk3	serum/glucocorticoid regulated kinase 3
ILMN_2777059	0.9801	2.93E-01	1.1286201	-5.31818	0.25165143	Csad	cysteine sulfinic acid decarboxylase
ILMN_2676052	0.9801	2.94E-01	1.1284929	-5.31831	0.23271099	Tef	thyrotroph embryonic factor
ILMN_1246463	0.9801	2.94E-01	1.1284354	-5.31837	0.12790535	Nhlrc4	NHL repeat containing 4
ILMN_2557265	0.9801	2.94E-01	-1.1282934	-5.31851	-0.19435297	Fkbp15	FK506 binding protein 15
ILMN_1254105	0.9801	2.94E-01	1.1282046	-5.3186	0.08232588	Dennd2c	DENN/MADD domain containing 2C
ILMN_2708920	0.9801	2.94E-01	-1.1281373	-5.31867	-0.15105649	Dnajc17	"DnaJ (Hsp40) homolog, subfamily C, member 17"
ILMN_2704822	0.9801	2.94E-01	-1.1280739	-5.31873	-0.17185307	Acaa2	acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase)
ILMN_2473322	0.9801	2.94E-01	-1.1280718	-5.31873	-0.10681891	Vmn2r26	"vomeronasal 2, receptor 26"
ILMN_1226371	0.9801	2.94E-01	1.1280458	-5.31876	0.14932465		
ILMN_3037758	0.9801	2.94E-01	1.1280165	-5.31879	0.09775695	9030418K01Rik	RIKEN cDNA 9030418K01 gene
ILMN_2921248	0.9801	2.94E-01	-1.1279256	-5.31888	-0.10128825	Uts2	urotensin 2
ILMN_1229971	0.9801	2.94E-01	1.1278849	-5.31892	0.12671959	Vezf1	vascular endothelial zinc finger 1
ILMN_2663854	0.9801	2.94E-01	-1.1278834	-5.31892	-0.08584759	Speer3	spermatogenesis associated glutamate (E)-rich protein 3
ILMN_1253634	0.9801	2.94E-01	-1.1278611	-5.31895	-0.11804034	Amotl1	angiomotin-like 1
ILMN_1238123	0.9801	2.94E-01	-1.127851	-5.31896	-0.09768021		
ILMN_2577186	0.9801	2.94E-01	-1.1278335	-5.31897	-0.11537798		
ILMN_1232299	0.9801	2.94E-01	1.1277358	-5.31907	0.11065013	Cpn2	"carboxypeptidase N, polypeptide 2"
ILMN_2493067	0.9801	2.94E-01	1.1276921	-5.31912	0.15198737	Zranb3	"zinc finger, RAN-binding domain containing 3"
ILMN_1241137	0.9801	2.94E-01	1.1276442	-5.31916	0.22944975	Taf6	"TAF6 RNA polymerase II, TATA box binding protein (TBP)-associated factor"
ILMN_3156604	0.9801	2.94E-01	1.1275529	-5.31926	0.32961355	Hmgb2	high mobility group box 2
ILMN_2660685	0.9801	2.94E-01	1.1275411	-5.31927	0.10152743		
ILMN_1239629	0.9801	2.94E-01	1.1275337	-5.31927	0.1117922	Rfpl4b	ret finger protein-like 4B
ILMN_2622436	0.9801	2.94E-01	1.1274971	-5.31931	0.08427533	Ms4a7	"membrane-spanning 4-domains, subfamily A, member 7"
ILMN_1255228	0.9801	2.94E-01	-1.1274839	-5.31933	-0.09426908	Cdh9	cadherin 9
ILMN_2714828	0.9801	2.94E-01	1.1274777	-5.31933	0.11190546	Abcb5	"ATP-binding cassette, sub-family B (MDR/TAP), member 5"
ILMN_1239024	0.9801	2.94E-01	1.1274665	-5.31934	0.3052575		
ILMN_2457731	0.9801	2.94E-01	-1.127377	-5.31943	-0.1125221	Ntng1	netrin G1
ILMN_1217984	0.9801	2.94E-01	-1.1273685	-5.31944	-0.10004675	Trip12	thyroid hormone receptor interactor 12
ILMN_1222581	0.9801	2.94E-01	1.1273265	-5.31948	0.0951271	Robo2	roundabout homolog 2 (Drosophila)
ILMN_2851455	0.9801	2.94E-01	1.1272577	-5.31955	0.14834688	2810408M09Rik	RIKEN cDNA 2810408M09 gene
ILMN_1213101	0.9801	2.94E-01	1.1272549	-5.31956	0.19822312	Lig1	"ligase I, DNA, ATP-dependent"
ILMN_2629737	0.9801	2.94E-01	1.1272533	-5.31956	0.10903812	Tmtc1	transmembrane and tetratricopeptide repeat containing 1
ILMN_2508595	0.9801	2.94E-01	-1.1272467	-5.31956	-0.15897443	Zfp35	zinc finger protein 35
ILMN_1252407	0.9801	2.94E-01	1.1271843	-5.31963	0.5658307	1110008F13Rik	RIKEN cDNA 1110008F13 gene
ILMN_2870191	0.9801	2.94E-01	-1.1271392	-5.31967	-0.2172146	Eif2c3	"eukaryotic translation initiation factor 2C, 3"
ILMN_1259869	0.9801	2.94E-01	1.1271102	-5.3197	0.09133891		
ILMN_2720277	0.9801	2.94E-01	1.1271038	-5.31971	0.10585419	Olfr235	olfactory receptor 235
ILMN_3014084	0.9801	2.94E-01	1.1270872	-5.31972	0.13479277	Nr1h2	"nuclear receptor subfamily 1, group H, member 2"
ILMN_1239524	0.9801	2.94E-01	1.1270837	-5.31973	0.20158502		
ILMN_2703159	0.9801	2.94E-01	-1.1270649	-5.31975	-0.16570784	Sptlc1	"serine palmitoyltransferase, long chain base subunit 1"
ILMN_2423383	0.9801	2.94E-01	1.127031	-5.31978	0.13729825	Tsc1	tuberous sclerosis 1
ILMN_1233982	0.9801	2.94E-01	-1.1269983	-5.31981	-0.10550438		
ILMN_1250592	0.9801	2.94E-01	1.1269485	-5.31986	0.11125965	Inpp5e	inositol polyphosphate-5-phosphatase E
ILMN_2537914	0.9801	2.94E-01	1.1269419	-5.31987	0.08565281		
ILMN_1244117	0.9801	2.94E-01	-1.1267859	-5.32003	-0.15295839	AI314180	expressed sequence AI314180
